"subjectArea","catalog","firstName","lastName","studentId","nbTimesTaken"
"HIST","340","Tho","Christian","43356669","2"
"HIST","365","Kyron","Adkins","46982724","2"
"HUMA","863","Kavita","Kuhn","47032123","2"
"INDU","490","Gertrude","Middleton","46328769","2"
"IRST","203","Jesselyn","Waller","46953764","2"
"MECH","311","Adaliz","Mullins","46076353","2"
"PHIL","609","Tyreka","Perez","43713212","2"
"POLI","216","Sheretta","Hampton","49097045","2"
"POLI","409","Courteney","Dickson","45967499","2"
"POLI","426","Vien","Rao","46187290","2"
"POLI","600","Loren","Godfrey","43303362","2"
"POLI","607","Yasir","Riggs","49074971","2"
"PSYC","250","Robertson","Swanson","49670104","2"
"PSYC","444","Omarr","Wilkins","46167225","2"
"PSYC","487","Terrall","Blake","42256310","2"
"PSYC","495","Rosalva","Rodgers","43147943","2"
"PSYC","801","Taquita","Creech","44602117","2"
"PSYC","823","Toy","Maynard","40188854","2"
"RELI","209","Jaquilla","Gorman","42935367","2"
"RELI","366","Sherlyn","Vaughn","47188616","2"
"SCUL","490","Colena","Russell","47761423","2"
"SOCI","203","Audrey","Starr","41164798","2"
"SOCZ","203","Audrey","Starr","41164798","2"
"ANTH","276","Taiwo","Atkins","48183647","2"
"SOCI","276","Taiwo","Atkins","48183647","2"
"ANTH","381","Rashi","Schmidt","45112117","2"
"SOCI","381","Rashi","Schmidt","45112117","2"
"SOEN","228","Cornelious","Locklear","45251717","2"
"SOEN","490","Wanda","Mills","47201164","2"
"SPEC","601","Odette","Lynn","47693867","2"
"SPEC","835","Truman","Brady","40180367","2"
"STAT","250","Smita","Chan","45431677","2"
"TESL","324","Kima","Sanchez","46226538","2"
"TESL","486","Travell","West","46861855","2"
"THEO","236","Avalon","Sanders","46978272","2"
"THEO","322","Brean","Bullock","49980093","2"
"TRES","582","Celicia","Carr","47840304","2"
"CEWD","229","Kirsten","Simon","42444526","2"
"COMS","694","Glen","Snyder","48082836","2"
"ELEC","6391","Chalea","Kearney","45333591","2"
"ETEC","593K","Alacia","Dudley","46255616","2"
"HIST","225","Traniece","Donovan","48612768","2"
"INDI","801","Billyjoe","Barnes","44377786","2"
"INDI","829","Nadja","Potter","42076872","2"
"MECH","6251","Curran","Burgess","40159965","2"
"MUSI","472","Titania","Weaver","44790118","2"
"PSYC","850C","Pessy","Heller","46608061","2"
"RELI","601B","Tanara","Berman","41081117","2"
"ACCO","653T","Tyanne","Miller","41754691","2"
"ADED","489","Myishia","Singer","48519905","2"
"ARTH","803","Sharisse","Chase","49819684","2"
"CHST","625","Davy","Snow","48167830","2"
"EXCI","493","Carlus","Faulkner","45782429","2"
"FMST","332","Raniesha","Wilkinson","47083256","2"
"FMST","610","Analissa","Kim","46070927","2"
"INTE","298","Hadley","Klein","45522578","2"
"LIBS","498","Berta","Capps","44951559","2"
"POLI","499","Lawerence","Fisher","43036372","2"
"PSYC","228","Sherley","Shepherd","41407134","2"
"SCPA","298","Pa","Carlson","41075698","2"
"TDEV","398","Leandrea","Howe","41397747","2"
"HISW","205","Cedar","McBride","49538341","2"
"HISW","251","Gus","Rosen","42871831","2"
"INDI","639B","Darril","Barnett","48541329","2"
"FBRS","386","Rami","Hull","44448879","2"
"ELEC","367","Jaamal","McNamara","42004164","2"
"PERC","209","Chalon","Monroe","43045045","2"
"PERC","498","Nichlos","Forrest","46504129","2"
"FTRA","638","Kima","Sanchez","46226538","2"
"COMP","6331","Lyle","McAllister","49376844","2"
"GPTK","714","Travers","Lawrence","41871544","2"
"COMS","484","Brean","Bullock","49980093","2"
"GEOG","264","Ellena","Stanton","43729289","2"
"GPLL","38","Trenae","Bryan","44166698","2"
"SSOQ","609","Hobie","Johnson","47747097","2"
"BIOL","476","Sheren","Mitchell","43177841","2"
"COMP","432","Latavia","Harrell","43119582","2"
"INDU","6521","Kirsten","Simon","42444526","2"
"MIAE","221","Shonika","Duncan","42720631","2"
"CEPS","1105EO","Kellis","Davies","44331863","2"
